260 280 0.0000 
280 300 0.0000 
300 340 0.0000 
340 380 0.0000 
380 420 0.0000 
420 460 0.0000 
460 500 0.0000 
500 540 0.0000 
540 580 0.0000 
580 620 0.0000 
620 660 0.0000 
660 700 0.0000 
700 740 0.0000 
740 780 0.0000 
780 820 0.0000 
820 880 0.0000 
880 960 0.0000 
960 1060 0.0000 
1060 1180 0.0000 
1180 1300 0.9475 
1300 1440 0.9791 
1440 1580 0.9791 
1580 1740 0.9791 
1740 1920 0.9791 
1920 2120 0.9791 
2120 2320 0.9791 
2320 2720 0.9791 
2720 3140 0.9791 
3140 3580 0.9791 
3580 4180 0.9791 
4180 5500 0.9791 
