260 280 0.0000 
280 300 0.0000 
300 340 0.0000 
340 380 0.0000 
380 420 0.0000 
420 460 0.0000 
460 500 0.0000 
500 540 0.0000 
540 580 0.0000 
580 620 0.0000 
620 680 0.0000 
680 760 0.0000 
760 840 0.9592 
840 940 0.9645 
940 1040 0.9690 
1040 1140 0.9722 
1140 1260 0.9748 
1260 1380 0.9768 
1380 1520 0.9784 
1520 1660 0.9795 
1660 1800 0.9803 
1800 1940 0.9809 
1940 2100 0.9813 
2100 2260 0.9816 
2260 2420 0.9818 
2420 2580 0.9820 
2580 2760 0.9821 
2760 2940 0.9821 
2940 3120 0.9822 
3120 3440 0.9822 
3440 3900 0.9823 
3900 4660 0.9823 
