Measured double-differential inclusive-jet cross section for the range 0.5 <= |y| < 1.0 and jet radius parameter R = 0.4
ABS(YRAP(JET)) : < 3.0
PT(JET) IN GEV : > 100
R : 0.4
RE : P P --> JET X
SQRT(S) : 7000.0 GeV
ABS(YRAP) : 0.5 - 1.0
x: PT(JET) IN GEV
y : D2(SIG)/DPT(JET)/DYRAP IN PB*GEV*-1
xlow xhigh y  NPC +u_NPC -u_NPC EWC EWC_tree EWC_loop +-stat1 +-stat2 +sys1 -sys1 +sys2 -sys2 +sys3 -sys3 +sys4 -sys4 +sys5 -sys5 +sys6 -sys6 +sys7 -sys7 +sys8 -sys8 +sys9 -sys9 +sys10 -sys10 +sys11 -sys11 +sys12 -sys12 +sys13 -sys13 +sys14 -sys14 +sys15 -sys15 +sys16 -sys16 +sys17 -sys17 +sys18 -sys18 +sys19 -sys19 +sys20 -sys20 +sys21 -sys21 +sys22 -sys22 +sys23 -sys23 +sys24 -sys24 +sys25 -sys25 +sys26 -sys26 +sys27 -sys27 +sys28 -sys28 +sys29 -sys29 +sys30 -sys30 +sys31 -sys31 +sys32 -sys32 +sys33 -sys33 +sys34 -sys34 +sys35 -sys35 +sys36 -sys36 +sys37 -sys37 +sys38 -sys38 +sys39 -sys39 +sys40 -sys40 +sys41 -sys41 +sys42 -sys42 +sys43 -sys43 +sys44 -sys44 +sys45 -sys45 +sys46 -sys46 +sys47 -sys47 +sys48 -sys48 +sys49 -sys49 +sys50 -sys50 +sys51 -sys51 +sys52 -sys52 +sys53 -sys53 +sys54 -sys54 +sys55 -sys55 +sys56 -sys56 +sys57 -sys57 +sys58 -sys58 +sys59 -sys59 +sys60 -sys60 +sys61 -sys61 +sys62 -sys62 +sys63 -sys63 +sys64 -sys64 +sys65 -sys65 +sys66 -sys66 +sys67 -sys67 +sys68 -sys68 +sys69 -sys69
 100 116 4.03e+03 0.96 5 -3 1.00 1.00 1.00 0.55 0.91 3.1 -3.1 0.4 -0.5 0.1 -0.2 0.3 -0.3 1.3 -1.2 1.0 -1.0 0.1 -0.1 0.6 -0.6 0.1 -0.1 0.9 -0.9 0.3 -0.4 0.8 -0.9 0.6 -0.6 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.1 -0.1 0.0 -0.1 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.2 -0.2 0.4 -0.5 0.6 -0.6 0.3 -0.4 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.0 -0.1 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.5 -0.6 1.5 -1.6 0.0 -0.0 -1.4 1.4 -0.6 0.7 -1.1 1.2 0.8 -0.8 0.5 -0.6 6.4 -5.9 3.0 -3.0 0.2 -0.2 0.1 -0.1 0.5 -0.5 1.8 -1.8 0.0 -0.0
 116 134 1.90e+03 0.96 5 -3 1.00 1.00 1.00 0.77 0.52 3.0 -3.0 0.4 -0.4 0.1 -0.1 0.2 -0.2 1.1 -1.1 0.9 -0.9 0.1 -0.1 0.5 -0.5 0.1 -0.1 0.9 -0.9 0.3 -0.3 0.8 -0.8 0.5 -0.5 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.1 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.0 0.1 -0.1 0.3 -0.3 0.5 -0.5 0.4 -0.4 0.1 -0.1 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.1 0.0 -0.0 0.1 -0.1 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.4 -0.5 1.3 -1.4 0.0 -0.0 -1.3 1.3 -0.6 0.6 -0.9 0.9 0.8 -0.8 0.4 -0.5 5.6 -5.2 2.5 -2.5 0.1 -0.1 0.1 -0.1 0.5 -0.5 1.8 -1.8 0.0 -0.0
 134 152 9.31e+02 0.96 4 -3 1.00 1.00 1.00 0.92 0.40 3.1 -3.0 0.3 -0.4 0.1 -0.1 0.2 -0.2 1.1 -1.1 0.9 -0.8 0.1 -0.0 0.5 -0.4 0.1 -0.1 1.0 -1.0 0.3 -0.3 0.8 -0.8 0.5 -0.4 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.2 -0.2 0.4 -0.4 0.5 -0.5 0.2 -0.2 -0.0 0.1 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.0 -0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.4 -0.4 1.3 -1.3 0.0 -0.0 -1.4 1.4 -0.5 0.6 -0.8 0.9 0.8 -0.7 0.3 -0.3 5.1 -4.8 2.2 -2.2 0.1 -0.1 0.0 -0.0 0.5 -0.5 1.8 -1.8 0.0 -0.0
 152 172 4.67e+02 0.97 4 -3 1.00 1.00 0.99 0.72 0.37 3.2 -3.2 0.3 -0.3 0.1 -0.1 0.2 -0.2 1.1 -1.1 0.8 -0.8 0.0 -0.0 0.4 -0.4 0.1 -0.1 1.1 -1.1 0.3 -0.3 0.8 -0.8 0.5 -0.4 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.3 -0.3 0.5 -0.4 0.3 -0.4 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.0 -0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.4 -0.4 1.4 -1.4 0.0 -0.0 -1.4 1.4 -0.5 0.6 -0.8 0.8 0.7 -0.7 0.3 -0.3 4.8 -4.6 1.9 -1.9 0.1 -0.1 0.0 -0.0 0.5 -0.5 1.8 -1.8 0.0 -0.0
 172 194 2.39e+02 0.97 3 -2 1.00 1.00 0.99 0.57 0.38 3.3 -3.3 0.3 -0.3 0.1 -0.1 0.2 -0.2 1.1 -1.1 0.7 -0.7 0.0 -0.0 0.4 -0.4 0.1 -0.1 1.2 -1.2 0.3 -0.3 0.8 -0.8 0.5 -0.5 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.2 -0.1 0.1 -0.1 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.0 0.1 -0.1 0.2 -0.2 0.4 -0.4 0.4 -0.5 0.1 -0.1 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.1 -0.1 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.4 -0.4 1.4 -1.4 0.0 -0.0 -1.3 1.3 -0.5 0.5 -0.8 0.7 0.7 -0.7 0.2 -0.2 4.5 -4.4 1.6 -1.6 0.1 -0.1 0.0 -0.0 0.5 -0.5 1.8 -1.8 0.0 -0.0
 194 216 1.26e+02 0.97 3 -2 1.00 1.01 0.99 0.73 0.37 3.5 -3.5 0.3 -0.2 0.1 -0.1 0.1 -0.2 1.1 -1.1 0.7 -0.7 0.0 -0.0 0.4 -0.4 0.1 -0.1 1.2 -1.2 0.3 -0.2 0.7 -0.8 0.5 -0.5 0.1 -0.0 0.0 -0.0 0.1 -0.0 0.2 -0.2 0.2 -0.2 0.1 -0.1 0.1 -0.1 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.2 -0.2 0.3 -0.3 0.4 -0.4 0.2 -0.2 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.1 -0.1 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.3 -0.3 1.5 -1.5 0.0 -0.0 -1.2 1.2 -0.5 0.5 -0.7 0.7 0.8 -0.8 0.2 -0.2 4.3 -4.2 1.4 -1.4 0.0 -0.0 0.0 -0.0 0.5 -0.5 1.8 -1.8 0.0 -0.0
 216 240 6.89e+01 0.97 3 -2 1.00 1.01 0.99 0.54 0.33 3.7 -3.6 0.2 -0.2 0.1 -0.1 0.1 -0.1 1.0 -0.9 0.7 -0.6 0.0 -0.0 0.4 -0.4 0.1 -0.1 1.2 -1.1 0.2 -0.2 0.7 -0.7 0.5 -0.5 0.1 -0.1 0.0 -0.0 0.1 -0.1 0.2 -0.2 0.2 -0.2 0.2 -0.2 0.2 -0.2 0.1 -0.1 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.2 -0.2 0.4 -0.4 0.3 -0.3 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.1 -0.1 0.1 -0.1 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.3 -0.3 1.5 -1.4 0.0 -0.0 -1.2 1.2 -0.4 0.4 -0.6 0.6 0.9 -0.9 0.2 -0.2 4.0 -3.9 1.3 -1.3 0.0 -0.0 0.0 -0.0 0.5 -0.5 1.8 -1.8 0.0 -0.0
 240 264 3.86e+01 0.97 3 -2 1.00 1.01 0.99 0.70 0.35 3.8 -3.7 0.2 -0.2 0.0 -0.0 0.1 -0.1 0.8 -0.8 0.6 -0.6 0.0 -0.0 0.3 -0.3 0.1 -0.1 1.0 -1.0 0.2 -0.2 0.7 -0.7 0.6 -0.5 0.1 -0.1 0.0 -0.0 0.1 -0.1 0.3 -0.3 0.2 -0.3 0.2 -0.2 0.3 -0.3 0.1 -0.1 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.2 -0.2 0.3 -0.3 0.3 -0.3 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.1 -0.1 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.3 -0.3 1.4 -1.4 0.0 -0.0 -1.2 1.3 -0.3 0.4 -0.5 0.5 1.0 -1.0 0.2 -0.2 3.7 -3.5 1.3 -1.3 0.0 -0.0 0.0 -0.0 0.5 -0.5 1.8 -1.8 0.0 -0.0
 264 290 2.22e+01 0.97 2 -2 1.00 1.01 0.99 0.91 0.39 3.9 -3.7 0.2 -0.2 0.0 -0.0 0.1 -0.1 0.7 -0.7 0.5 -0.5 0.0 -0.0 0.3 -0.3 0.1 -0.1 0.9 -0.9 0.2 -0.2 0.7 -0.7 0.6 -0.6 0.1 -0.1 0.0 -0.0 0.1 -0.2 0.3 -0.3 0.3 -0.3 0.3 -0.3 0.4 -0.4 0.1 -0.1 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.2 -0.2 0.2 -0.2 0.3 -0.3 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.2 -0.2 0.1 -0.1 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.2 -0.3 1.3 -1.3 0.0 -0.0 -1.2 1.2 -0.3 0.4 -0.5 0.5 1.1 -1.1 0.2 -0.2 3.3 -3.1 1.2 -1.2 0.0 -0.0 0.0 -0.0 0.5 -0.5 1.8 -1.8 0.0 -0.0
 290 318 1.28e+01 0.97 2 -2 1.00 1.01 0.99 1.2 0.37 3.8 -3.6 0.1 -0.1 0.0 -0.0 0.1 -0.1 0.6 -0.6 0.5 -0.5 0.0 -0.0 0.3 -0.3 0.1 -0.1 0.7 -0.7 0.2 -0.2 0.7 -0.7 0.6 -0.6 0.1 -0.1 0.0 -0.1 0.2 -0.2 0.3 -0.3 0.3 -0.3 0.3 -0.3 0.4 -0.4 0.1 -0.2 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.1 -0.1 0.1 -0.2 0.3 -0.3 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.1 -0.1 0.2 -0.2 0.1 -0.1 0.0 -0.0 -0.0 0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 -0.0 0.0 -0.0 0.0 -0.0 0.0 0.0 0.2 -0.2 1.3 -1.3 0.0 -0.0 -1.1 1.2 -0.4 0.4 -0.5 0.5 1.1 -1.1 0.1 -0.2 2.8 -2.7 1.2 -1.2 0.0 -0.0 0.0 -0.0 0.5 -0.5 1.8 -1.8 0.0 -0.0
