hadronisation corrections 
  mean  xmin  xmax  npc  npc_up npc_down 
 108.0 100.0 116.0 0.96 1.008 0.931
 125.0 116.0 134.0 0.96 1.008 0.931
 143.0 134.0 152.0 0.96 0.998 0.931
 162.0 152.0 172.0 0.97 1.009 0.941
 183.0 172.0 194.0 0.97 0.999 0.951
 205.0 194.0 216.0 0.97 0.999 0.951
 228.0 216.0 240.0 0.97 0.999 0.951
 252.0 240.0 264.0 0.97 0.999 0.951
 277.0 264.0 290.0 0.97 0.989 0.951
 304.0 290.0 318.0 0.97 0.989 0.951
 332.0 318.0 346.0 0.98 1.000 0.970
 361.0 346.0 376.0 0.98 1.000 0.970
 392.0 376.0 408.0 0.98 1.000 0.970
 425.0 408.0 442.0 0.98 1.000 0.970
 460.0 442.0 478.0 0.98 1.000 0.970
 497.0 478.0 516.0 0.98 1.000 0.970
 536.0 516.0 556.0 0.98 0.990 0.970
 577.0 556.0 598.0 0.98 0.990 0.970
 620.0 598.0 642.0 0.98 0.990 0.970
 665.0 642.0 688.0 0.98 0.990 0.970
 712.0 688.0 736.0 0.98 0.990 0.970
 761.0 736.0 786.0 0.98 0.990 0.970
 812.0 786.0 838.0 0.98 0.990 0.970
 866.0 838.0 894.0 0.98 0.990 0.970
 923.0 894.0 952.0 0.98 0.990 0.970
 982.0 952.0 1012.0 0.98 0.990 0.970
 1087.0 1012.0 1162.0 0.99 1.000 0.990
 1236.0 1162.0 1310.0 0.99 1.000 0.990
 1651.0 1310.0 1992.0 0.99 1.000 0.990
